doc,edge_id,enhanced_signature,is_property,method_full_name,name,object_type,parameter_types,parameters_count,relationship,requires_parameters,return_type,return_type_source,signature,source,source_object,source_type,target
compressed_text,410,"(func, axis, result_name)",false,"BaseTable.apply","apply","BaseTable","{}",3,"BaseTable -> Transformed","[""func""]","Transformed","docstring","(func, axis=None, result_name=None)",2,"BaseTable","BaseTable",42
"Commit current state of the graph (FFI wrapper around core history system)",18,"(message, author)",false,"Graph.commit","commit","Graph","{}",2,"Graph -> Graph","[""message"", ""author""]","Graph","docstring","(message, author)",14,"Graph","Graph",14
compressed_text,411,"(func)",false,"BaseTable.apply_to_columns","apply_to_columns","BaseTable","{}",1,"BaseTable -> BaseTable","[""func""]","BaseTable","test_execution","(func)",2,"BaseTable","BaseTable",2
"Calculate transitivity (not yet implemented in core).",96,"()",false,"Graph.transitivity","transitivity","Graph","{}",0,"Graph -> Unknown","[]","Unknown","unknown","()",14,"Graph","Graph",43
"Get neighbors that existed at any point within a commit range.",65,"(node_id, start_commit, end_commit)",false,"Graph.neighbors_in_window","neighbors_in_window","Graph","{}",3,"Graph -> Commit","[""node_id"", ""start_commit"", ""end_commit""]","Commit","docstring","(node_id, start_commit, end_commit)",14,"Graph","Graph",5
compressed_text,108,"()",false,"EdgesAccessor.all","all","EdgesAccessor","{}",0,"EdgesAccessor -> Subgraph","[]","Subgraph","test_execution","()",10,"EdgesAccessor","EdgesAccessor",36
"Export EdgesTable to JSON file",201,"(path)",false,"EdgesTable.to_json","to_json","EdgesTable","{}",1,"EdgesTable -> NoneType","[""path""]","NoneType","test_execution","(path)",12,"EdgesTable","EdgesTable",30
"Filter edges and return new subgraph",276,"(filter)",false,"Subgraph.filter_edges","filter_edges","Subgraph","{}",1,"Subgraph -> Subgraph","[""filter""]","Subgraph","test_execution","(filter)",36,"Subgraph","Subgraph",36
"SVD decomposition: A = U * Σ * V^T
Returns tuple of (U, singular_values, V_transpose)",379,"()",false,"GraphMatrix.svd","svd","GraphMatrix","{}",0,"GraphMatrix -> tuple","[]","tuple","test_execution","()",18,"GraphMatrix","GraphMatrix",55
compressed_text,417,"(method)",false,"BaseTable.corr","corr","BaseTable","{}",1,"BaseTable -> BaseTable","[]","BaseTable","test_execution","(method=None)",2,"BaseTable","BaseTable",2
"Create induced subgraph from list of nodes",287,"(nodes)",false,"Subgraph.induced_subgraph","induced_subgraph","Subgraph","{}",1,"Subgraph -> list","[""nodes""]","list","docstring","(nodes)",36,"Subgraph","Subgraph",52
"Remove multiple edges from the graph",72,"(edges)",false,"Graph.remove_edges","remove_edges","Graph","{}",1,"Graph -> Graph","[""edges""]","Graph","docstring","(edges)",14,"Graph","Graph",14
compressed_text,269,"(nodes, full_graph)",false,"Subgraph.degree","degree","Subgraph","{}",2,"Subgraph -> NumArray","[]","NumArray","test_execution","(nodes=None, *, full_graph=False)",36,"Subgraph","Subgraph",31
"Get edge endpoints (source, target)",273,"(edge_id)",false,"Subgraph.edge_endpoints","edge_endpoints","Subgraph","{}",1,"Subgraph -> Unknown","[""edge_id""]","Unknown","unknown","(edge_id)",36,"Subgraph","Subgraph",43
"Get adjacency list (not yet implemented).",5,"()",false,"Graph.adjacency_list","adjacency_list","Graph","{}",0,"Graph -> list","[]","list","docstring","()",14,"Graph","Graph",52
"GELU activation applied to matrix
Implements: matrix.gelu()",332,"()",false,"GraphMatrix.gelu","gelu","GraphMatrix","{}",0,"GraphMatrix -> GraphMatrix","[]","GraphMatrix","test_execution","()",18,"GraphMatrix","GraphMatrix",18
"Get out-degree for nodes - delegates via Python method call.",69,"(nodes, full_graph)",false,"Graph.out_degree","out_degree","Graph","{}",2,"Graph -> NumArray","[]","NumArray","test_execution","(nodes=None, *, full_graph=False)",14,"Graph","Graph",31
