doc,edge_id,enhanced_signature,is_property,method_full_name,name,object_type,parameter_types,parameters_count,relationship,requires_parameters,return_type,return_type_source,signature,source,source_object,source_type,target
"",304,"(_other)",false,"Subgraph.subtract_from","subtract_from","Subgraph","{}",1,"Subgraph -> Unknown","[""_other""]","Unknown","unknown","(_other)",36,"Subgraph","Subgraph",43
"Extract a node attribute from all subgraphs and return as ArrayArray",239,"(attr_name)",false,"SubgraphArray.extract_node_attribute","extract_node_attribute","SubgraphArray","{}",1,"SubgraphArray -> Unknown","[""attr_name""]","Unknown","unknown","(attr_name)",37,"SubgraphArray","SubgraphArray",43
compressed_text,513,"()",false,"AttrName.isprintable","isprintable","AttrName","{}",0,"AttrName -> bool","[]","bool","test_execution","()",0,"AttrName","AttrName",47
"Convert to different numeric type",233,"(dtype)",false,"NumArray.to_type","to_type","NumArray","{}",1,"NumArray -> float","[""dtype""]","float","docstring","(dtype)",31,"NumArray","NumArray",50
"Convert back to Graph",132,"()",false,"GraphTable.to_graph","to_graph","GraphTable","{}",0,"GraphTable -> Graph","[]","Graph","test_execution","()",19,"GraphTable","GraphTable",14
"Create a dense materialized version of the matrix",318,"()",false,"GraphMatrix.dense","dense","GraphMatrix","{}",0,"GraphMatrix -> GraphMatrix","[]","GraphMatrix","test_execution","()",18,"GraphMatrix","GraphMatrix",18
"Get all attribute keys for a node - delegates to PyGraphAttr",67,"(node_id)",false,"Graph.node_attribute_keys","node_attribute_keys","Graph","{}",1,"Graph -> GraphAttr","[""node_id""]","GraphAttr","docstring","(node_id)",14,"Graph","Graph",16
compressed_text,516,"()",false,"AttrName.isupper","isupper","AttrName","{}",0,"AttrName -> bool","[]","bool","test_execution","()",0,"AttrName","AttrName",47
"Convert graph to attribute matrix - delegates to PyGraphMatrixHelper",91,"()",false,"Graph.to_matrix","to_matrix","Graph","{}",0,"Graph -> GraphMatrix","[]","GraphMatrix","test_execution","()",14,"Graph","Graph",18
compressed_text,497,"(expected_columns)",false,"BaseTable.validate_schema","validate_schema","BaseTable","{}",1,"BaseTable -> dict","[""expected_columns""]","dict","docstring","(expected_columns)",2,"BaseTable","BaseTable",49
"Convert to BaseTable (loses edge-specific typing)",187,"()",false,"EdgesTable.into_base_table","into_base_table","EdgesTable","{}",0,"EdgesTable -> BaseTable","[]","BaseTable","test_execution","()",12,"EdgesTable","EdgesTable",2
"Calculate transitivity of the subgraph",312,"()",false,"Subgraph.transitivity","transitivity","Subgraph","{}",0,"Subgraph -> Subgraph","[]","Subgraph","docstring","()",36,"Subgraph","Subgraph",36
"Get the number of nodes in the graph - DELEGATED",68,"()",false,"Graph.node_count","node_count","Graph","{}",0,"Graph -> int","[]","int","test_execution","()",14,"Graph","Graph",51
compressed_text,138,"(columns)",false,"NodesTable.drop_columns","drop_columns","NodesTable","{}",1,"NodesTable -> list","[""columns""]","list","docstring","(columns)",27,"NodesTable","NodesTable",52
"Create subgraph representing shortest path between two nodes",302,"(source, target)",false,"Subgraph.shortest_path_subgraph","shortest_path_subgraph","Subgraph","{}",2,"Subgraph -> Subgraph","[""source"", ""target""]","Subgraph","docstring","(source, target)",36,"Subgraph","Subgraph",36
"Get rich display representation using Rust formatter",366,"(config)",false,"GraphMatrix.rich_display","rich_display","GraphMatrix","{}",1,"GraphMatrix -> str","[]","str","test_execution","(config=None)",18,"GraphMatrix","GraphMatrix",54
compressed_text,537,"()",false,"BranchName.capitalize","capitalize","BranchName","{}",0,"BranchName -> str","[]","str","test_execution","()",4,"BranchName","BranchName",54
"Get target node IDs  ",199,"()",false,"EdgesTable.targets","targets","EdgesTable","{}",0,"EdgesTable -> NumArray","[]","NumArray","test_execution","()",12,"EdgesTable","EdgesTable",31
"",299,"(k)",false,"Subgraph.sample_k","sample_k","Subgraph","{}",1,"Subgraph -> Subgraph","[""k""]","Subgraph","test_execution","(k)",36,"Subgraph","Subgraph",36
"Get column as numeric array if possible (returns NumArray/IntArray or error)",441,"(column_name)",false,"BaseTable.get_column_numeric","get_column_numeric","BaseTable","{}",1,"BaseTable -> NumArray","[""column_name""]","NumArray","test_execution","(column_name)",2,"BaseTable","BaseTable",31
compressed_text,509,"()",false,"AttrName.isdigit","isdigit","AttrName","{}",0,"AttrName -> bool","[]","bool","test_execution","()",0,"AttrName","AttrName",47
"Parse the 'on' parameter for join operations",463,"(on)",false,"BaseTable.parse_join_on","parse_join_on","BaseTable","{}",1,"BaseTable -> Unknown","[""on""]","Unknown","unknown","(on)",2,"BaseTable","BaseTable",43
compressed_text,505,"()",false,"AttrName.isalnum","isalnum","AttrName","{}",0,"AttrName -> bool","[]","bool","test_execution","()",0,"AttrName","AttrName",47
compressed_text,280,"(attr_name, element_type)",false,"Subgraph.group_by","group_by","Subgraph","{}",2,"Subgraph -> list","[""attr_name"", ""element_type""]","list","docstring","(attr_name, element_type)",36,"Subgraph","Subgraph",52
"Get a NodesTable representation of accessible nodes  
Implements: g.nodes.table()",107,"()",false,"NodesAccessor.table","table","NodesAccessor","{}",0,"NodesAccessor -> NodesTable","[]","NodesTable","test_execution","()",24,"NodesAccessor","NodesAccessor",27
compressed_text,2,"(other)",false,"Graph.add_graph","add_graph","Graph","{}",1,"Graph -> Graph","[""other""]","Graph","docstring","(other)",14,"Graph","Graph",14
"Get entity type - delegates via Python.",31,"()",false,"Graph.entity_type","entity_type","Graph","{}",0,"Graph -> str","[]","str","test_execution","()",14,"Graph","Graph",54
"Get in-degree of nodes within subgraph",286,"(nodes, full_graph)",false,"Subgraph.in_degree","in_degree","Subgraph","{}",2,"Subgraph -> NumArray","[]","NumArray","test_execution","(nodes=None, full_graph=False)",36,"Subgraph","Subgraph",31
"Check if subgraph is empty",290,"()",false,"Subgraph.is_empty","is_empty","Subgraph","{}",0,"Subgraph -> bool","[]","bool","test_execution","()",36,"Subgraph","Subgraph",47
compressed_text,502,"(width, fillchar)",false,"AttrName.center","center","AttrName","{}",2,"AttrName -> str","[""width""]","str","docstring","(width, fillchar=' ', /)",0,"AttrName","AttrName",54
"Calculate the Frobenius norm (Euclidean norm) of the matrix",354,"()",false,"GraphMatrix.norm","norm","GraphMatrix","{}",0,"GraphMatrix -> float","[]","float","test_execution","()",18,"GraphMatrix","GraphMatrix",50
compressed_text,195,"(column, ascending)",false,"EdgesTable.sort_by","sort_by","EdgesTable","{}",2,"EdgesTable -> EdgesTable","[""column""]","EdgesTable","docstring","(column, ascending=True)",12,"EdgesTable","EdgesTable",12
compressed_text,525,"(width, fillchar)",false,"AttrName.rjust","rjust","AttrName","{}",2,"AttrName -> str","[""width""]","str","docstring","(width, fillchar=' ', /)",0,"AttrName","AttrName",54
"Get node mapping for a specific attribute (FFI wrapper around core operations)",41,"(uid_key, return_inverse)",false,"Graph.get_node_mapping","get_node_mapping","Graph","{}",2,"Graph -> Unknown","[""uid_key""]","Unknown","unknown","(uid_key, return_inverse=False)",14,"Graph","Graph",43
"Import NodesTable from CSV file (must contain node_id column)",141,"(path)",false,"NodesTable.from_csv","from_csv","NodesTable","{}",1,"NodesTable -> NodesTable","[""path""]","NodesTable","docstring","(path)",27,"NodesTable","NodesTable",27
"Convert subgraph edges to a table - pure delegation to core GraphTable",274,"()",false,"Subgraph.edges_table","edges_table","Subgraph","{}",0,"Subgraph -> EdgesTable","[]","EdgesTable","test_execution","()",36,"Subgraph","Subgraph",12
compressed_text,174,"(predicate)",false,"EdgesTable.filter","filter","EdgesTable","{}",1,"EdgesTable -> EdgesTable","[""predicate""]","EdgesTable","test_execution","(predicate)",12,"EdgesTable","EdgesTable",12
compressed_text,285,"(node1_id, node2_id)",false,"Subgraph.has_path","has_path","Subgraph","{}",2,"Subgraph -> Subgraph","[""node1_id"", ""node2_id""]","Subgraph","docstring","(node1_id, node2_id)",36,"Subgraph","Subgraph",36
compressed_text,551,"()",false,"BranchName.isspace","isspace","BranchName","{}",0,"BranchName -> bool","[]","bool","test_execution","()",4,"BranchName","BranchName",47
compressed_text,209,"(_port, _layout, _theme, _width, _height)",false,"NodesArray.interactive","interactive","NodesArray","{}",5,"NodesArray -> float","[]","float","docstring","(_port=None, _layout=None, _theme=None, _width=None, _height=None)",25,"NodesArray","NodesArray",50
"Collapse subgraph - delegates via Python.",17,"(aggregations)",false,"Graph.collapse","collapse","Graph","{}",1,"Graph -> Subgraph","[""aggregations""]","Subgraph","docstring","(aggregations)",14,"Graph","Graph",36
compressed_text,117,"(attr_name)",false,"EdgesAccessor.weight_matrix","weight_matrix","EdgesAccessor","{}",1,"EdgesAccessor -> GraphMatrix","[]","GraphMatrix","test_execution","(attr_name=None)",10,"EdgesAccessor","EdgesAccessor",18
"Iterate over rows - returns iterator of BaseArrays or NumArrays",342,"()",false,"GraphMatrix.iter_rows","iter_rows","GraphMatrix","{}",0,"GraphMatrix -> list","[]","list","test_execution","()",18,"GraphMatrix","GraphMatrix",52
compressed_text,32,"(method_name, args, _kwargs)",false,"Graph.experimental","experimental","Graph","{}",3,"Graph -> list","[""method_name"", ""args"", ""_kwargs""]","list","docstring","(method_name, *args, **_kwargs)",14,"Graph","Graph",52
compressed_text,246,"()",false,"SubgraphArray.summary","summary","SubgraphArray","{}",0,"SubgraphArray -> BaseTable","[]","BaseTable","test_execution","()",37,"SubgraphArray","SubgraphArray",2
