target_node,method_name,edge_id,source_node,source_type,return_type,target_type
1,fill_na,92,6,EdgesArray,GraphArray,BaseArray
8,select,108,8,NodesTable,NodesTable,NodesTable
1,neighbors,74,4,Subgraph,GraphArray,BaseArray
1,node_ids (property),1,0,Graph,GraphArray,BaseArray
3,power,53,3,Matrix,GraphMatrix,Matrix
4,view,23,0,Graph,Subgraph,Subgraph
1,to_numpy,31,1,BaseArray,ndarray,BaseArray
1,to_list,102,7,SubgraphArray,list,BaseArray
1,stats,40,2,BaseTable,dict,BaseArray
4,filter_nodes,14,0,Graph,Subgraph,Subgraph
